"['ATOM/ETH', False]","['ATOM/USDT', True]","['ETH/USDT', False]"
"['ATOM/ETH', False]","['ATOM/UST', True]","['ETH/UST', False]"
"['ATOM/KCS', False]","['ATOM/BTC', True]","['KCS/BTC', False]"
"['ATOM/KCS', False]","['ATOM/ETH', True]","['ETH/KCS', True]"
"['ATOM/KCS', False]","['ATOM/ETH', True]","['KCS/ETH', False]"
"['ATOM/KCS', False]","['ATOM/USDT', True]","['KCS/USDT', False]"
"['ATOM/KCS', False]","['ATOM/UST', True]","['KCS/UST', False]"
"['ATOM/USDT', False]","['ATOM/BTC', True]","['BTC/USDT', True]"
"['ATOM/USDT', False]","['ATOM/ETH', True]","['ETH/USDT', True]"
"['ATOM/USDT', False]","['ATOM/KCS', True]","['KCS/USDT', True]"
"['ATOM/USDT', False]","['ATOM/UST', True]","['USDT/UST', False]"
"['ATOM/UST', False]","['ATOM/BTC', True]","['BTC/UST', True]"
"['ATOM/UST', False]","['ATOM/ETH', True]","['ETH/UST', True]"
"['ATOM/UST', False]","['ATOM/KCS', True]","['KCS/UST', True]"
"['ATOM/UST', False]","['ATOM/USDT', True]","['USDT/UST', True]"
"['AVA/BTC', False]","['AVA/ETH', True]","['ETH/BTC', True]"
"['AVA/BTC', False]","['AVA/USDT', True]","['BTC/USDT', False]"
"['AVA/ETH', False]","['AVA/BTC', True]","['ETH/BTC', False]"
"['AVA/ETH', False]","['AVA/USDT', True]","['ETH/USDT', False]"
"['AVA/USDT', False]","['AVA/BTC', True]","['BTC/USDT', True]"
"['AVA/USDT', False]","['AVA/ETH', True]","['ETH/USDT', True]"
"['AVAX/BTC', False]","['AVAX/USDT', True]","['BTC/USDT', False]"
"['AVAX/USDT', False]","['AVAX/BTC', True]","['BTC/USDT', True]"
"['AXPR/BTC', False]","['AXPR/ETH', True]","['ETH/BTC', True]"
"['AXPR/ETH', False]","['AXPR/BTC', True]","['ETH/BTC', False]"
"['BAX/BTC', False]","['BAX/ETH', True]","['ETH/BTC', True]"
"['BAX/ETH', False]","['BAX/BTC', True]","['ETH/BTC', False]"
"['BCD/BTC', False]","['BCD/ETH', True]","['ETH/BTC', True]"
"['BCD/ETH', False]","['BCD/BTC', True]","['ETH/BTC', False]"
"['BCH/BTC', False]","['BCH/KCS', True]","['KCS/BTC', True]"
"['BCH/BTC', False]","['BCH/USDC', True]","['BTC/USDC', False]"
"['BCH/BTC', False]","['BCH/USDT', True]","['BTC/USDT', False]"
"['BCH/KCS', False]","['BCH/BTC', True]","['KCS/BTC', False]"
"['BCH/KCS', False]","['BCH/USDC', True]","['KCS/USDC', False]"
"['BCH/KCS', False]","['BCH/USDT', True]","['KCS/USDT', False]"
"['BCH/USDC', False]","['BCH/BTC', True]","['BTC/USDC', True]"
"['BCH/USDC', False]","['BCH/KCS', True]","['KCS/USDC', True]"
"['BCH/USDC', False]","['BCH/USDT', True]","['USDC/USDT', False]"
"['BCH/USDC', False]","['BCH/USDT', True]","['USDT/USDC', True]"
"['BCH/USDT', False]","['BCH/BTC', True]","['BTC/USDT', True]"
"['BCH/USDT', False]","['BCH/KCS', True]","['KCS/USDT', True]"
"['BCH/USDT', False]","['BCH/USDC', True]","['USDC/USDT', True]"
"['BCH/USDT', False]","['BCH/USDC', True]","['USDT/USDC', False]"
"['BEPRO/BTC', False]","['BEPRO/USDT', True]","['BTC/USDT', False]"
"['BEPRO/USDT', False]","['BEPRO/BTC', True]","['BTC/USDT', True]"
"['BNB/BTC', False]","['BNB/KCS', True]","['KCS/BTC', True]"
"['BNB/BTC', False]","['BNB/USDT', True]","['BTC/USDT', False]"
"['BNB/KCS', False]","['BNB/BTC', True]","['KCS/BTC', False]"
"['BNB/KCS', False]","['BNB/USDT', True]","['KCS/USDT', False]"
"['BNB/USDT', False]","['BNB/BTC', True]","['BTC/USDT', True]"
"['BNB/USDT', False]","['BNB/KCS', True]","['KCS/USDT', True]"
"['BNS/BTC', False]","['BNS/USDT', True]","['BTC/USDT', False]"
"['BNS/USDT', False]","['BNS/BTC', True]","['BTC/USDT', True]"
"['BOLT/BTC', False]","['BOLT/USDT', True]","['BTC/USDT', False]"
"['BOLT/USDT', False]","['BOLT/BTC', True]","['BTC/USDT', True]"
"['BRG/BTC', False]","['BRG/USDT', True]","['BTC/USDT', False]"
"['BRG/USDT', False]","['BRG/BTC', True]","['BTC/USDT', True]"
"['BSV/BTC', False]","['BSV/ETH', True]","['ETH/BTC', True]"
"['BSV/BTC', False]","['BSV/KCS', True]","['KCS/BTC', True]"
"['BSV/BTC', False]","['BSV/USDC', True]","['BTC/USDC', False]"
"['BSV/BTC', False]","['BSV/USDT', True]","['BTC/USDT', False]"
"['BSV/ETH', False]","['BSV/BTC', True]","['ETH/BTC', False]"
"['BSV/ETH', False]","['BSV/KCS', True]","['ETH/KCS', False]"
"['BSV/ETH', False]","['BSV/KCS', True]","['KCS/ETH', True]"
"['BSV/ETH', False]","['BSV/USDC', True]","['ETH/USDC', False]"
"['BSV/ETH', False]","['BSV/USDT', True]","['ETH/USDT', False]"
"['BSV/KCS', False]","['BSV/BTC', True]","['KCS/BTC', False]"
"['BSV/KCS', False]","['BSV/ETH', True]","['ETH/KCS', True]"
"['BSV/KCS', False]","['BSV/ETH', True]","['KCS/ETH', False]"
"['BSV/KCS', False]","['BSV/USDC', True]","['KCS/USDC', False]"
"['BSV/KCS', False]","['BSV/USDT', True]","['KCS/USDT', False]"
"['BSV/USDC', False]","['BSV/BTC', True]","['BTC/USDC', True]"
"['BSV/USDC', False]","['BSV/ETH', True]","['ETH/USDC', True]"
"['BSV/USDC', False]","['BSV/KCS', True]","['KCS/USDC', True]"
"['BSV/USDC', False]","['BSV/USDT', True]","['USDC/USDT', False]"
"['BSV/USDC', False]","['BSV/USDT', True]","['USDT/USDC', True]"
"['BSV/USDT', False]","['BSV/BTC', True]","['BTC/USDT', True]"
